tamaño_m2,precio_cop,fecha_construccion,barrio,antiguedad,habitaciones
120,559200000,1992,Suramericana,33,3
47,124500000,2004,Popular,21,3
50,130100000,2009,Villa Guadalupe,16,2
46,138400000,2019,Villa Guadalupe,6,2
120,740800000,2024,Conquistadores,1,4
109,548500000,2009,Villa Nueva,16,3
55,151500000,2016,Villa Guadalupe,9,2
120,481100000,1988,Laureles,37,5
55,140000000,2009,Santa Cruz,16,2
55,140500000,1972,Guayabal,53,2
120,492100000,1977,Villa Nueva,48,3
120,674200000,2011,La Floresta,14,4
120,771400000,2024,Estadio,1,5
120,590300000,2003,Villa Nueva,22,3
63,238900000,2021,Villa Hermosa,4,2
53,220000000,2024,La Candelaria,1,3
350,2497600000,2014,Alejandria,11,5
61,214900000,2012,Caicedo,13,3
180,979300000,1991,El Velodromo,34,6
70,267100000,1990,Belen,35,2
71,357700000,2013,Belen,12,3
64,197700000,1991,Villa Hermosa,34,2
53,152400000,2013,Granizal,12,3
94,495600000,2003,Estadio,22,4
53,202500000,2020,Villa Hermosa,5,3
68,260700000,1979,Belen,46,2
48,123300000,2010,Popular,15,3
120,559600000,1994,Belen,31,3
120,650700000,2014,Estadio,11,4
61,202300000,2005,Campo Valdes No 1,20,4
119,477300000,1981,La Floresta,44,5
349,2630300000,2021,Castropol,4,7
48,113800000,1994,Popular,31,2
53,142400000,1985,La Candelaria,40,3
293,2231000000,2015,El Poblado,10,7
57,178100000,1999,La Candelaria,26,2
58,189900000,2001,Campo Valdes No 1,24,3
76,351900000,2001,Buenos Aires,24,4
71,351700000,2009,Estadio,16,4
120,583500000,2007,Villa Nueva,18,3
46,120300000,2006,Granizal,19,2
44,122200000,2017,Villa Guadalupe,8,2
47,125500000,2014,La Cruz,11,3
85,452300000,2018,La America,7,4
65,269800000,2024,Caicedo,1,2
88,432800000,2006,Villa Nueva,19,3
58,281500000,2017,La America,8,2
59,184300000,2000,Caicedo,25,2
58,178700000,1993,Campo Valdes No 1,32,3
180,1095100000,2010,Prado,15,4
59,201200000,2009,La Candelaria,16,3
47,119600000,2009,Moscu No 2,16,2
56,169500000,1992,Caicedo,33,3
180,1329200000,2023,Quinta Parro,2,5
58,160300000,1983,Caicedo,42,2
80,343200000,1992,Buenos Aires,33,2
74,383200000,2018,Aranjuez,7,2
61,221200000,2011,La Candelaria,14,2
120,582000000,2001,La Floresta,24,3
54,113300000,1977,La Cruz,48,3
57,212300000,2020,La Candelaria,5,3
65,174800000,1990,Campo Valdes No 1,35,3
65,261600000,2024,La Candelaria,1,2
120,546800000,1991,Conquistadores,34,4
49,123400000,2007,Santa Cruz,18,2
78,365200000,2007,La America,18,3
51,130000000,2004,La Cruz,21,3
79,318000000,1979,Laureles,46,3
79,329800000,1998,Aranjuez,27,3
65,213200000,2003,La Candelaria,22,2
120,545900000,1995,Belen,30,5
82,378100000,2002,Aranjuez,23,4
55,131300000,1995,Granizal,30,3
62,190500000,1997,Andalucia,28,4
71,381300000,2018,Aranjuez,7,2
180,992100000,1998,El Velodromo,27,6
350,2348100000,2000,El Tesoro,25,7
56,196600000,2017,La Candelaria,8,3
158,1066900000,2021,Los Colores,4,4
55,228100000,2023,La Candelaria,2,3
47,159400000,2006,La Candelaria,19,3
120,584800000,2009,Laureles,16,3
65,251300000,2019,Caicedo,6,3
55,166500000,1992,La Candelaria,33,3
55,199400000,2017,Andalucia,8,3
75,306600000,1998,Manrique Central,27,3
78,365300000,2004,La America,21,4
60,218300000,2014,Andalucia,11,2
120,604900000,2009,Laureles,16,4
61,186200000,2000,Campo Valdes No 1,25,4
79,374400000,2005,Buenos Aires,20,2
53,145600000,2012,Popular,13,3
60,200000000,2009,Andalucia,16,2
120,716800000,2024,Estadio,1,3
48,100000000,1979,Moscu No 2,46,3
65,236300000,2011,La Candelaria,14,3
53,190400000,2017,Campo Valdes No 1,8,2
65,212800000,2002,Campo Valdes No 1,23,2
65,170200000,1983,Caicedo,42,3
60,282000000,1994,Villa Nueva,31,3
110,526000000,2002,Belen,23,3
162,782800000,1987,La Castellana,38,4
78,355100000,2003,Manrique Central,22,3
61,202200000,2009,Guayabal,16,3
77,284700000,1987,La America,38,2
79,299100000,1982,Belen,43,2
50,184100000,2017,Caicedo,8,2
79,372600000,1996,Belen,29,4
47,126900000,2012,Villa Guadalupe,13,2
77,322800000,1992,La America,33,3
55,206700000,2019,Caicedo,6,3
78,377700000,2014,Buenos Aires,11,4
180,1213700000,2021,Cristo Rey,4,6
82,378700000,2003,Aranjuez,22,3
85,397100000,2004,Belen,21,3
53,152000000,2017,La Cruz,8,3
61,201300000,2002,Villa Hermosa,23,4
120,572900000,2006,Belen,19,3
79,335100000,2000,La America,25,4
81,380400000,2001,La America,24,3
180,1073400000,2003,La Castellana,22,6
322,2293000000,2012,Los Balsos,13,6
180,987600000,1992,Laureles,33,4
50,156900000,1991,Caicedo,34,2
65,243400000,2019,La Candelaria,6,4
48,93700000,1973,Popular,52,2
71,303800000,1995,Buenos Aires,30,2
50,145500000,2018,Popular,7,3
152,708700000,1977,Los Colores,48,5
55,141400000,2010,Granizal,15,3
78,359100000,2003,Aranjuez,22,4
62,225300000,2013,Villa Hermosa,12,4
59,195000000,2008,Andalucia,17,2
105,559000000,2016,Suramericana,9,4
102,577100000,2021,Belen,4,4
56,199400000,2018,Guayabal,7,2
58,187300000,2003,Villa Hermosa,22,3
79,390200000,2016,Belen,9,3
53,123200000,1997,Villa Guadalupe,28,3
67,250800000,1980,Buenos Aires,45,4
76,314500000,1993,Manrique Central,32,2
120,666800000,2019,Carlos E Restrepo,6,4
57,177800000,1996,Campo Valdes No 1,29,2
81,396100000,2017,Belen,8,3
76,341200000,2001,La America,24,2
54,177000000,2024,Popular,1,3
120,575900000,1998,Conquistadores,27,4
57,191500000,2004,Campo Valdes No 1,21,3
72,331700000,1993,Estadio,32,3
120,584800000,2009,Conquistadores,16,5
103,481300000,1996,Suramericana,29,3
62,230600000,2012,Caicedo,13,3
85,378000000,2009,Manrique Central,16,3
108,485300000,1995,Carlos E Restrepo,30,3
83,417400000,2015,Buenos Aires,10,4
94,374300000,1978,La Floresta,47,3
65,243600000,2021,Andalucia,4,2
43,88400000,1983,Moscu No 2,42,2
85,368500000,1991,Buenos Aires,34,4
125,608400000,1979,La Castellana,46,5
73,273800000,1984,Belen,41,3
82,375400000,2003,Manrique Central,22,4
47,123600000,2008,Moscu No 2,17,3
79,396200000,2012,Aranjuez,13,2
77,270900000,1970,Aranjuez,55,3
63,221600000,2011,Guayabal,14,2
85,381300000,2009,Belen,16,3
57,189900000,2003,Guayabal,22,3
76,267500000,1970,Aranjuez,55,3
70,241300000,1972,Buenos Aires,53,3
82,324500000,1983,Manrique Central,42,3
85,378600000,2003,La America,22,4
59,157300000,1984,Caicedo,41,3
60,199800000,2008,Guayabal,17,2
106,496400000,1999,Villa Nueva,26,3
65,203400000,2000,La Candelaria,25,2
48,124500000,2009,Villa Guadalupe,16,2
84,448200000,2018,La America,7,4
63,198300000,1992,Villa Hermosa,33,2
49,132400000,2011,La Cruz,14,2
115,710700000,2023,Suramericana,2,4
55,139900000,2008,Granizal,17,3
55,136900000,1995,Popular,30,2
85,361100000,1996,La America,29,4
64,231500000,2017,Villa Hermosa,8,2
73,375000000,2011,Aranjuez,14,4
63,204800000,2009,Guayabal,16,3
58,208200000,2015,La Candelaria,10,3
85,381800000,2003,Belen,22,3
64,354300000,2021,Laureles,4,4
61,247600000,2023,Guayabal,2,2
59,193500000,2007,Villa Hermosa,18,3
51,166600000,2003,Andalucia,22,2
50,131300000,2002,Santa Cruz,23,3
85,313800000,1980,Manrique Central,45,4
120,687400000,2022,Suramericana,3,5
65,212900000,2010,Andalucia,15,2
56,184100000,2003,Guayabal,22,2
56,153200000,1980,La Candelaria,45,3
84,388400000,2009,Aranjuez,16,4
61,169300000,1982,Andalucia,43,3
77,332500000,1999,Belen,26,4
50,125800000,2010,Granizal,15,2
55,116200000,1982,Santa Cruz,43,3
65,236000000,2016,Andalucia,9,3
63,167300000,1977,Campo Valdes No 1,48,3
65,248300000,2021,Campo Valdes No 1,4,3
85,445500000,2022,Manrique Central,3,3
49,104600000,1988,Popular,37,2
54,150300000,1979,Guayabal,46,3
77,332500000,1994,La America,31,4
61,206900000,2001,La Candelaria,24,2
120,650800000,2011,Conquistadores,14,5
80,469400000,2022,Laureles,3,4
70,353500000,2011,Belen,14,2
85,395300000,2007,Belen,18,3
57,189700000,2004,Caicedo,21,3
58,190000000,2002,Guayabal,23,3
52,127300000,2006,Popular,19,2
59,196100000,2007,La Candelaria,18,3
51,129400000,2009,Popular,16,3
120,486700000,1978,Suramericana,47,5
55,116900000,1978,Santa Cruz,47,3
157,752600000,1982,Quinta Parro,43,6
51,129500000,2007,Santa Cruz,18,3
214,1566700000,2013,El Poblado,12,5
47,125400000,2006,Santa Cruz,19,2
60,218200000,2014,Guayabal,11,3
54,144100000,1984,Caicedo,41,2
63,213000000,2008,Campo Valdes No 1,17,3
56,196300000,2016,La Candelaria,9,2
350,2501000000,2017,Alejandria,8,5
54,225800000,2023,Campo Valdes No 1,2,3
58,215900000,2014,Villa Hermosa,11,3
75,398600000,2016,Carlos E Restrepo,9,4
62,207400000,2008,Villa Hermosa,17,2
149,824300000,1989,Castropol,36,5
55,138400000,2006,La Cruz,19,2
65,207800000,2009,Andalucia,16,3
65,209400000,2009,La Candelaria,16,3
65,212600000,2009,Villa Hermosa,16,3
63,234900000,2016,Caicedo,9,2
76,298900000,1988,Aranjuez,37,4
65,208900000,2007,Campo Valdes No 1,18,3
60,182800000,1998,Caicedo,27,2
78,406600000,2021,Buenos Aires,4,4
56,201400000,2011,Villa Hermosa,14,3
81,403900000,2019,Aranjuez,6,4
64,212800000,2010,La Candelaria,15,2
120,674400000,2020,Belen,5,5
75,313700000,1993,La America,32,4
62,197800000,2010,La Candelaria,15,4
57,154500000,1983,Caicedo,42,3
53,162500000,1998,Campo Valdes No 1,27,3
65,239500000,2016,Villa Hermosa,9,2
176,1055900000,2009,Cristo Rey,16,6
180,1344800000,2024,Cristo Rey,1,4
116,537200000,1994,Suramericana,31,4
51,146100000,2012,Moscu No 2,13,2
64,198900000,2000,Caicedo,25,4
63,193500000,1999,Guayabal,26,3
120,760900000,2023,Belen,2,4
62,219500000,2014,Campo Valdes No 1,11,4
78,321800000,2000,La America,25,3
65,201900000,1995,Andalucia,30,4
56,199000000,2016,Caicedo,9,3
180,1203400000,2019,El Velodromo,6,5
180,1056900000,2002,Laureles,23,4
59,178900000,2000,La Candelaria,25,2
113,649900000,2018,Suramericana,7,5
106,577200000,2013,Estadio,12,4
130,767300000,2007,El Velodromo,18,5
55,131900000,2000,Santa Cruz,25,3
52,156500000,2022,Popular,3,2
86,463100000,2017,Suramericana,8,4
120,496000000,1988,Carlos E Restrepo,37,3
83,352300000,1996,Manrique Central,29,3
51,146200000,2014,Popular,11,2
60,184300000,1991,Caicedo,34,2
65,245600000,2014,Caicedo,11,2
61,221900000,2017,Andalucia,8,2
54,154900000,2017,Villa Guadalupe,8,3
65,242900000,2019,Caicedo,6,3
61,235500000,2019,Andalucia,6,4
65,198300000,1996,Villa Hermosa,29,2
120,601200000,2003,Carlos E Restrepo,22,4
60,199800000,2001,Caicedo,24,3
50,201300000,2019,Guayabal,6,2
55,176500000,2024,Santa Cruz,1,3
77,342600000,2010,La America,15,4
74,343000000,1993,La Floresta,32,2
65,219000000,2005,Caicedo,20,4
73,315200000,2000,Buenos Aires,25,4
59,158100000,1980,Caicedo,45,2
54,134100000,1970,Villa Hermosa,55,3
53,112000000,1981,Popular,44,2
61,157500000,1987,Guayabal,38,3
61,217000000,2011,Villa Hermosa,14,4
52,171600000,2024,Santa Cruz,1,2
58,192500000,2005,Andalucia,20,3
120,684200000,2018,Estadio,7,4
60,244400000,2024,La Candelaria,1,3
83,467900000,2024,Manrique Central,1,4
55,143600000,2003,Popular,22,3
58,205500000,2017,La Candelaria,8,2
48,110200000,1992,La Cruz,33,3
62,196800000,2002,Villa Hermosa,23,4
51,149500000,2022,Villa Guadalupe,3,3
59,182200000,2000,Caicedo,25,2
49,137700000,2011,La Cruz,14,3
55,163600000,2022,Santa Cruz,3,2
58,219300000,2018,Villa Hermosa,7,3
114,644300000,2021,Laureles,4,5
61,181500000,1998,La Candelaria,27,2
68,283800000,1991,Aranjuez,34,4
62,208000000,2007,Andalucia,18,2
83,305900000,1990,Buenos Aires,35,4
60,197200000,2003,La Candelaria,22,2
59,193800000,2003,Andalucia,22,3
342,2305200000,2002,Manila,23,5
76,396400000,2021,Aranjuez,4,3
180,1148500000,2016,Cristo Rey,9,5
58,204700000,2011,Campo Valdes No 1,14,2
76,372600000,2017,La America,8,4
59,184100000,1995,La Candelaria,30,2
70,357600000,2013,Belen,12,4
58,190100000,2005,Andalucia,20,3
53,159900000,2019,Santa Cruz,6,2
47,130600000,2013,Villa Guadalupe,12,3
77,322500000,1996,Belen,29,4
50,119000000,1999,Santa Cruz,26,3
50,119800000,2000,Granizal,25,2
120,579600000,2009,Conquistadores,16,3
61,225500000,2020,Guayabal,5,2
81,410100000,2001,Belen,24,4
52,120000000,1997,Villa Guadalupe,28,3
77,389300000,2020,Manrique Central,5,4
139,816400000,2005,Laureles,20,3
180,1138200000,2017,Laureles,8,4
71,362600000,2002,Estadio,23,4
120,672800000,2018,Belen,7,5
59,219300000,2012,Caicedo,13,3
59,214900000,2011,Andalucia,14,2
74,320800000,1993,Belen,32,4
56,171100000,1994,Campo Valdes No 1,31,2
62,243100000,2019,Campo Valdes No 1,6,4
61,201000000,2005,Villa Hermosa,20,2
50,107000000,1977,Santa Cruz,48,3
81,307800000,1990,Belen,35,3
85,425500000,2015,Manrique Central,10,4
62,221600000,2012,Andalucia,13,4
100,490900000,2010,Belen,15,3
62,311300000,2001,Belen,24,2
62,207500000,2004,Campo Valdes No 1,21,3
73,360800000,2011,Aranjuez,14,4
49,119200000,2000,La Cruz,25,3
79,363800000,2004,La America,21,4
63,168000000,1979,Andalucia,46,3
62,213600000,2008,La Candelaria,17,2
65,216800000,2002,Caicedo,23,2
79,418900000,2020,Manrique Central,5,2
65,240400000,2012,Andalucia,13,3
65,216300000,2008,La Candelaria,17,4
51,190700000,2016,Andalucia,9,2
57,167500000,1998,Andalucia,27,3
180,1210100000,2020,Los Colores,5,5
78,354900000,2001,Aranjuez,24,2
180,1137100000,2014,Laureles,11,4
312,2085100000,2007,Alejandria,18,7
57,153500000,1985,Caicedo,40,3
102,500600000,2007,Villa Nueva,18,4
120,479400000,1987,Belen,38,4
55,130300000,1997,Villa Guadalupe,28,2
60,196500000,2009,Caicedo,16,2
71,260300000,1985,La America,40,2
61,250900000,2023,Villa Hermosa,2,4
343,2501500000,2013,Manila,12,7
54,176000000,2006,Villa Hermosa,19,2
64,241800000,2020,Andalucia,5,2
148,875300000,2010,Cristo Rey,15,4
61,206700000,2007,Caicedo,18,4
55,111700000,1982,Granizal,43,3
79,300500000,1988,Manrique Central,37,3
75,405000000,2019,Buenos Aires,6,2
80,304900000,1988,Aranjuez,37,3
63,197100000,1999,Villa Hermosa,26,3
59,186400000,1995,Villa Hermosa,30,2
77,352500000,2005,Belen,20,4
50,139000000,2015,Villa Guadalupe,10,2
58,156800000,1976,Villa Hermosa,49,2
60,162200000,1983,Andalucia,42,2
77,390900000,2017,Manrique Central,8,2
52,135100000,2002,Villa Guadalupe,23,2
138,891100000,2013,Prado,12,5
74,269200000,1981,Belen,44,3
56,238100000,2024,Guayabal,1,2
350,2365600000,2002,Castropol,23,5
103,544000000,2015,La Floresta,10,3
55,206400000,2014,Campo Valdes No 1,11,3
59,194200000,2006,Villa Hermosa,19,3
55,143500000,1980,Campo Valdes No 1,45,3
85,398800000,2004,Buenos Aires,21,4
79,262000000,1971,Buenos Aires,54,4
76,350300000,2002,Manrique Central,23,2
321,2449300000,2020,Manila,5,6
120,659700000,2018,Suramericana,7,3
48,196700000,2023,Campo Valdes No 1,2,2
120,597200000,2006,Laureles,19,5
57,217700000,2019,Guayabal,6,2
75,281300000,1979,La America,46,4
62,203600000,2005,Caicedo,20,3
64,176200000,1988,Campo Valdes No 1,37,3
57,172700000,1995,Caicedo,30,3
136,804500000,2001,El Velodromo,24,3
60,220200000,2013,La Candelaria,12,3
235,1570700000,1992,El Tesoro,33,6
62,203600000,2010,Guayabal,15,2
120,457200000,1971,Conquistadores,54,4
61,192400000,2008,Caicedo,17,2
109,631600000,2019,Belen,6,3
114,772600000,2022,La Castellana,3,4
53,164100000,1998,Guayabal,27,2
56,151700000,1990,Guayabal,35,2
52,159400000,2000,La Candelaria,25,2
50,129900000,2009,Santa Cruz,16,2
165,922600000,1997,El Velodromo,28,5
75,434000000,2024,Belen,1,4
67,308200000,2003,Buenos Aires,22,2
85,374800000,1995,La America,30,4
81,451100000,2024,Manrique Central,1,3
120,533600000,1991,Estadio,34,3
55,203800000,2016,Campo Valdes No 1,9,2
78,354600000,2001,Aranjuez,24,2
63,209300000,2007,La Candelaria,18,3
65,274900000,2023,Andalucia,2,2
52,134600000,2009,Popular,16,2
84,385700000,2002,Aranjuez,23,3
56,214900000,2018,Caicedo,7,2
167,953900000,2005,El Velodromo,20,4
84,309300000,1979,Manrique Central,46,4
45,104500000,2000,Santa Cruz,25,2
55,166300000,2000,Guayabal,25,3
212,1428700000,2009,Los Balsos,16,5
84,312100000,1983,La America,42,4
79,399000000,2014,Aranjuez,11,2
49,139800000,2018,Moscu No 2,7,3
50,150500000,2022,Santa Cruz,3,2
69,253700000,1988,La America,37,3
56,181900000,2003,Guayabal,22,2
63,206000000,2003,Campo Valdes No 1,22,2
54,128600000,2000,Moscu No 2,25,2
75,421800000,2018,La Floresta,7,3
84,358100000,2000,Manrique Central,25,4
50,131900000,2003,Santa Cruz,22,2
91,412700000,1999,Conquistadores,26,4
64,233500000,2014,Villa Hermosa,11,3
71,376300000,2020,Manrique Central,5,2
74,301500000,1998,Aranjuez,27,4
76,414500000,2019,La America,6,3
84,314700000,1979,Aranjuez,46,4
53,155600000,1992,Guayabal,33,2
60,200300000,2005,Caicedo,20,3
54,153000000,2015,Popular,10,2
54,152000000,2011,Moscu No 2,14,3
85,386900000,2005,Buenos Aires,20,3
78,282300000,1983,Manrique Central,42,2
75,286800000,1989,Belen,36,4
63,162000000,1985,Andalucia,40,2
55,154500000,2012,Villa Guadalupe,13,2
79,292700000,1982,Buenos Aires,43,2
58,192700000,2002,Caicedo,23,2
120,652200000,2013,La Floresta,12,3
58,205000000,2011,Campo Valdes No 1,14,3
136,617900000,1974,Cristo Rey,51,3
120,498800000,1988,Belen,37,5
75,344500000,2002,Aranjuez,23,2
113,474600000,1980,La Floresta,45,5
63,226500000,2011,Campo Valdes No 1,14,3
57,236200000,2023,Andalucia,2,2
50,178800000,2013,Campo Valdes No 1,12,3
72,311600000,2000,Manrique Central,25,3
50,129100000,2010,La Cruz,15,3
120,607700000,2005,Carlos E Restrepo,20,3
55,132300000,1996,La Cruz,29,2
61,180800000,1993,Villa Hermosa,32,2
50,131800000,2001,Granizal,24,3
79,361100000,2010,La America,15,3
58,155100000,1980,Guayabal,45,2
79,390300000,2017,La America,8,3
65,192100000,1998,Guayabal,27,4
54,143000000,2010,Popular,15,2
72,335400000,2001,La America,24,4
52,150400000,2018,La Cruz,7,2
129,622200000,1985,Los Colores,40,4
85,432200000,2016,Aranjuez,9,4
53,147000000,2015,Granizal,10,3
83,344300000,2000,Belen,25,3
80,339800000,1992,Buenos Aires,33,2
113,609400000,1994,El Velodromo,31,4
71,269800000,1990,La America,35,4
85,365100000,2000,Belen,25,3
61,186500000,1999,Villa Hermosa,26,2
64,188200000,1996,Caicedo,29,4
180,872900000,1985,El Velodromo,40,5
61,255900000,2023,Andalucia,2,2
78,327600000,1999,La America,26,4
47,98300000,1990,Granizal,35,2
96,391500000,1989,Carlos E Restrepo,36,4
56,149700000,1984,Andalucia,41,2
84,395500000,2008,Manrique Central,17,3
85,360900000,1997,Aranjuez,28,3
107,536900000,2009,Suramericana,16,3
73,426000000,2023,Manrique Central,2,2
49,136600000,2016,Granizal,9,3
83,367900000,2004,Manrique Central,21,4
105,599800000,2021,Laureles,4,3
63,171500000,1981,Caicedo,44,4
77,391700000,2014,Belen,11,4
47,118600000,2002,Moscu No 2,23,3
120,539000000,1995,La Floresta,30,3
85,323800000,1986,Aranjuez,39,3
265,1671500000,1994,El Poblado,31,6
180,1141700000,2016,La Castellana,9,6
59,209200000,2017,Campo Valdes No 1,8,3
59,238500000,2023,La Candelaria,2,2
65,266100000,2024,Caicedo,1,3
54,113900000,1980,Villa Guadalupe,45,3
135,809100000,2006,Prado,19,4
73,339500000,2002,Manrique Central,23,3
77,349900000,2008,Aranjuez,17,2
350,2333100000,2004,Alejandria,21,7
120,615700000,2003,Laureles,22,3
65,174300000,1990,Campo Valdes No 1,35,3
62,223500000,2014,Villa Hermosa,11,4
51,198300000,2022,Andalucia,3,2
49,96100000,1971,Santa Cruz,54,2
59,195300000,2007,Guayabal,18,2
77,347900000,2005,Aranjuez,20,3
120,588200000,2010,Villa Nueva,15,3
74,358600000,2017,Belen,8,2
107,570000000,2012,Suramericana,13,4
47,162400000,2011,La Candelaria,14,3
61,318800000,2020,Belen,5,2
85,380100000,2010,Belen,15,3
60,182700000,1996,Guayabal,29,3
180,1094100000,2008,La Castellana,17,6
48,133700000,2011,Granizal,14,3
57,176800000,1991,Andalucia,34,2
61,203700000,2004,Andalucia,21,3
71,332900000,2010,Manrique Central,15,2
46,130700000,2014,Granizal,11,3
120,701700000,2019,Laureles,6,3
47,149000000,2024,Santa Cruz,1,3
64,200300000,1994,Guayabal,31,2
57,168800000,1995,Caicedo,30,2
46,87900000,1971,Granizal,54,2
76,324700000,1991,Aranjuez,34,2
109,590100000,2011,Carlos E Restrepo,14,4
65,231100000,2017,La Candelaria,8,3
59,214900000,2015,Guayabal,10,2
62,191800000,1993,Andalucia,32,2
110,633300000,2022,Laureles,3,4
51,128300000,2009,Villa Guadalupe,16,3
78,407300000,2021,Aranjuez,4,2
66,316400000,2007,La America,18,3
51,148500000,2015,Popular,10,3
62,186100000,1991,Campo Valdes No 1,34,4
91,519700000,2022,Conquistadores,3,4
79,331400000,1996,Belen,29,2
60,324800000,2015,Suramericana,10,2
55,120200000,1983,Villa Guadalupe,42,3
63,168800000,1988,Campo Valdes No 1,37,3
80,362000000,2001,La America,24,3
120,536900000,1995,Villa Nueva,30,4
80,306100000,1988,Manrique Central,37,2
62,219400000,2015,La Candelaria,10,3
55,161800000,2021,Granizal,4,2
78,363400000,2003,Aranjuez,22,3
60,293200000,2006,Carlos E Restrepo,19,3
114,535500000,2000,Villa Nueva,25,4
53,192400000,2016,Caicedo,9,3
57,173300000,1995,Campo Valdes No 1,30,2
140,830300000,2005,Cristo Rey,20,4
66,306700000,2001,La America,24,3
60,182600000,1997,La Candelaria,28,2
78,368200000,1993,Conquistadores,32,4
58,194600000,2009,Campo Valdes No 1,16,2
48,142000000,2018,Moscu No 2,7,2
59,215100000,2014,Caicedo,11,3
50,117000000,1992,Moscu No 2,33,2
60,226500000,2021,Guayabal,4,3
180,1043100000,2008,Laureles,17,6
76,285800000,1986,Belen,39,3
51,125000000,1999,Moscu No 2,26,3
56,195800000,2015,Villa Hermosa,10,3
77,397100000,2021,Buenos Aires,4,3
77,364100000,2002,Buenos Aires,23,4
52,124700000,1991,Villa Guadalupe,34,3
85,444100000,2022,Belen,3,4
74,277800000,1980,Manrique Central,45,3
57,206900000,2017,Campo Valdes No 1,8,3
55,179100000,2002,Campo Valdes No 1,23,3
48,197500000,2024,Campo Valdes No 1,1,2
49,137600000,2017,Santa Cruz,8,2
85,369500000,1991,Belen,34,3
64,189200000,1994,Caicedo,31,4
53,127700000,1999,Santa Cruz,26,2
53,146000000,2011,Moscu No 2,14,2
120,489800000,1990,Laureles,35,4
58,158200000,1982,Guayabal,43,2
82,408600000,2012,Belen,13,3
47,95400000,1979,Santa Cruz,46,2
59,191600000,2001,Campo Valdes No 1,24,2
111,555600000,2002,Belen,23,4
62,221200000,2013,Guayabal,12,3
56,200500000,2011,Caicedo,14,2
55,155700000,2020,Santa Cruz,5,2
75,384800000,2018,Aranjuez,7,2
83,438900000,2019,La America,6,4
180,1162200000,2014,Los Colores,11,4
65,231900000,2016,Caicedo,9,2
61,190800000,1991,La Candelaria,34,3
65,322000000,2012,La America,13,3
53,155800000,2018,Popular,7,3
350,1850300000,1984,Los Balsos,41,6
65,239600000,2012,Andalucia,13,3
65,197300000,1993,Caicedo,32,4
120,652700000,2014,Belen,11,4
65,216100000,2004,Andalucia,21,3
130,764000000,2003,Los Colores,22,5
120,671500000,2019,Estadio,6,3
77,325300000,2000,La America,25,4
65,229300000,2016,Andalucia,9,4
51,173600000,2002,Villa Hermosa,23,2
61,197200000,2007,Campo Valdes No 1,18,2
64,244700000,2021,Campo Valdes No 1,4,2
85,298600000,1975,La America,50,4
85,390100000,2001,Aranjuez,24,3
63,172500000,1979,Guayabal,46,4
65,232000000,2015,Villa Hermosa,10,2
58,180100000,1998,Caicedo,27,3
70,344900000,2017,Aranjuez,8,2
59,252100000,2023,Caicedo,2,2
54,139300000,2007,Villa Guadalupe,18,3
156,1183300000,2023,El Velodromo,2,4
158,927700000,2005,Quinta Parro,20,4
53,171900000,2010,Villa Hermosa,15,3
75,365700000,2017,Belen,8,4
180,1219400000,2020,Los Colores,5,6
180,1094600000,2008,Prado,17,5
74,373700000,2014,La America,11,2
45,117800000,2003,Villa Guadalupe,22,1
350,2141300000,1998,Los Balsos,27,7
62,238300000,2019,Guayabal,6,4
59,183200000,2000,Caicedo,25,3
84,383400000,2003,Manrique Central,22,4
51,188000000,2020,Campo Valdes No 1,5,3
120,596200000,2005,Estadio,20,4
49,99600000,1990,Santa Cruz,35,3
144,850400000,2010,La Castellana,15,3
120,600100000,2007,Suramericana,18,5
85,319300000,1986,Manrique Central,39,3
55,141300000,1973,Caicedo,52,2
180,1048500000,2006,Cristo Rey,19,4
120,547700000,1992,Conquistadores,33,4
75,344300000,2001,Belen,24,2
61,187100000,1997,La Candelaria,28,4
120,479500000,1981,Carlos E Restrepo,44,5
180,1156300000,2017,El Velodromo,8,5
78,401100000,2020,Manrique Central,5,2
78,289700000,1988,Manrique Central,37,3
85,297300000,1971,Aranjuez,54,3
119,694500000,2002,El Velodromo,23,5
74,304100000,1994,Manrique Central,31,4
165,746800000,1974,Quinta Parro,51,4
57,153100000,1982,Campo Valdes No 1,43,2
51,143200000,2016,Villa Guadalupe,9,3
120,653100000,2013,Carlos E Restrepo,12,3
81,347600000,1995,La America,30,4
350,1871300000,1990,Castropol,35,5
111,642700000,2018,Villa Nueva,7,3
83,425500000,2019,Aranjuez,6,3
55,199700000,2016,Villa Hermosa,9,3
180,865800000,1983,La Castellana,42,6
55,142500000,2004,Moscu No 2,21,3
66,234700000,1971,Aranjuez,54,4
64,170200000,1979,Guayabal,46,3
55,180600000,2009,Caicedo,16,3
72,322600000,2009,Aranjuez,16,2
67,235500000,1971,Belen,54,4
159,839600000,1997,Los Colores,28,4
120,588700000,2003,Suramericana,22,3
59,185700000,1999,La Candelaria,26,2
62,192100000,1997,Campo Valdes No 1,28,3
52,133500000,2010,Popular,15,3
68,348400000,2016,Manrique Central,9,4
82,348900000,2000,Aranjuez,25,3
100,411600000,1976,Estadio,49,4
48,125200000,2002,Granizal,23,3
75,347300000,2003,Manrique Central,22,2
65,199600000,1991,Caicedo,34,3
120,671800000,2013,Conquistadores,12,4
62,201800000,2008,Andalucia,17,4
82,375200000,2010,Buenos Aires,15,4
55,153000000,2016,La Cruz,9,3
59,197400000,2003,La Candelaria,22,3
120,689400000,2018,Estadio,7,4
49,118500000,1992,La Cruz,33,2
